timestamp,pitch,roll,yaw,x,y,z
16024,-0.2597,-0.0037,-1.9480,0.0188,0.0188,-0.9258
16044,-0.2618,-0.0040,-1.9516,0.0259,0.0259,-0.9390
16064,-0.2647,-0.0046,-1.9543,0.0288,0.0288,-0.9400
16084,-0.2676,-0.0056,-1.9556,0.0198,0.0198,-0.9358
16104,-0.2705,-0.0070,-1.9551,0.0239,0.0239,-0.9309
16124,-0.2732,-0.0086,-1.9528,0.0269,0.0269,-0.9429
16145,-0.2768,-0.0093,-1.9493,0.0168,0.0168,-0.9510
16165,-0.2802,-0.0105,-1.9447,0.0068,0.0068,-0.9549
16185,-0.2840,-0.0118,-1.9395,-0.0059,-0.0059,-0.9610
16205,-0.2875,-0.0131,-1.9341,-0.0220,-0.0220,-0.9500
16225,-0.2903,-0.0143,-1.9286,-0.0259,-0.0259,-0.9639
16246,-0.2924,-0.0147,-1.9240,-0.0349,-0.0349,-0.9749
16266,-0.2946,-0.0144,-1.9206,-0.0359,-0.0359,-0.9649
16286,-0.2970,-0.0135,-1.9185,-0.0298,-0.0298,-0.9619
16306,-0.2988,-0.0118,-1.9180,-0.0188,-0.0188,-0.9549
16326,-0.2985,-0.0100,-1.9197,0.0168,0.0168,-0.9619
16347,-0.2972,-0.0081,-1.9242,0.0430,0.0430,-1.0188
16367,-0.2974,-0.0084,-1.9277,0.0308,0.0308,-0.8938
16387,-0.2997,-0.0114,-1.9273,0.0149,0.0149,-0.8499
16407,-0.3018,-0.0149,-1.9220,-0.0088,-0.0088,-0.9009
16427,-0.3019,-0.0173,-1.9134,-0.0259,-0.0259,-0.9558
16448,-0.2993,-0.0178,-1.9040,-0.0469,-0.0469,-0.9688
16468,-0.2955,-0.0172,-1.8952,-0.0408,-0.0408,-0.9859
16488,-0.2916,-0.0160,-1.8880,-0.0288,-0.0288,-0.9920
16508,-0.2877,-0.0145,-1.8810,-0.0159,-0.0159,-0.9788
16528,-0.2826,-0.0129,-1.8723,-0.0029,-0.0029,-0.9768
16549,-0.2754,-0.0101,-1.8606,0.0049,0.0049,-0.9930
16569,-0.2650,-0.0056,-1.8439,0.0110,0.0110,-0.9798
16589,-0.2516,0.0005,-1.8210,0.0278,0.0278,-0.9768
16609,-0.2358,0.0083,-1.7925,0.0349,0.0349,-0.9930
16629,-0.2191,0.0173,-1.7598,0.0398,0.0398,-0.9788
16650,-0.2017,0.0267,-1.7250,0.0298,0.0298,-0.9720
16670,-0.1841,0.0351,-1.6891,0.0139,0.0139,-0.9529
16690,-0.1668,0.0421,-1.6541,0.0178,0.0178,-0.9400
16710,-0.1487,0.0478,-1.6200,0.0159,0.0159,-0.9529
16730,-0.1307,0.0517,-1.5872,0.0229,0.0229,-0.9619
16750,-0.1131,0.0552,-1.5559,0.0269,0.0269,-0.9558
16771,-0.0969,0.0576,-1.5257,0.0308,0.0308,-0.9698
16791,-0.0813,0.0603,-1.4966,0.0369,0.0369,-0.9768
16811,-0.0661,0.0624,-1.4667,0.0449,0.0449,-0.9629
16831,-0.0522,0.0644,-1.4353,0.0559,0.0559,-0.9768
16851,-0.0396,0.0666,-1.4029,0.0508,0.0508,-0.9878
16872,-0.0277,0.0696,-1.3697,0.0398,0.0398,-0.9959
16892,-0.0161,0.0730,-1.3369,0.0308,0.0308,-0.9910
16912,-0.0053,0.0762,-1.3050,0.0339,0.0339,-0.9910
16932,0.0041,0.0789,-1.2757,0.0320,0.0320,-0.9810
16952,0.0116,0.0814,-1.2500,0.0278,0.0278,-0.9619
16973,0.0167,0.0827,-1.2286,0.0388,0.0388,-0.9458
16993,0.0194,0.0829,-1.2112,0.0469,0.0469,-0.9558
17013,0.0216,0.0819,-1.1976,0.0459,0.0459,-0.9820
17033,0.0254,0.0829,-1.1870,0.0508,0.0508,-1.1358
17053,0.0282,0.0819,-1.1809,-0.0369,-0.0369,-0.7569
17073,0.0283,0.0790,-1.1782,0.0098,0.0098,-1.0689
17094,0.0285,0.0742,-1.1769,0.0669,0.0669,-0.9429
17114,0.0297,0.0711,-1.1759,0.0608,0.0608,-1.0408
17134,0.0309,0.0686,-1.1736,0.0789,0.0789,-0.9988
17154,0.0317,0.0677,-1.1702,0.0779,0.0779,-0.9920
17174,0.0311,0.0673,-1.1667,0.0669,0.0669,-0.9949
17195,0.0292,0.0678,-1.1640,0.0698,0.0698,-0.9849
17215,0.0268,0.0680,-1.1624,0.0659,0.0659,-0.9788
17235,0.0251,0.0684,-1.1611,0.0908,0.0908,-1.0259
17255,0.0224,0.0657,-1.1629,0.0359,0.0359,-0.9378
17275,0.0207,0.0657,-1.1669,0.0059,0.0059,-1.0249
17296,0.0196,0.0639,-1.1709,0.0308,0.0308,-1.0049
17316,0.0200,0.0630,-1.1741,0.0508,0.0508,-1.0159
17336,0.0208,0.0626,-1.1757,0.0618,0.0618,-1.0330
17356,0.0210,0.0633,-1.1764,0.0630,0.0630,-0.9898
17376,0.0198,0.0638,-1.1778,0.0498,0.0498,-0.9910
17397,0.0178,0.0638,-1.1802,0.0408,0.0408,-0.9678
17417,0.0153,0.0631,-1.1838,0.0239,0.0239,-0.9710
17437,0.0125,0.0620,-1.1890,0.0068,0.0068,-0.9778
17457,0.0099,0.0605,-1.1960,0.0000,0.0000,-0.9768
17477,0.0075,0.0574,-1.2046,-0.0029,-0.0029,-0.9829
17497,0.0047,0.0543,-1.2156,-0.0020,-0.0020,-0.9778
17518,0.0008,0.0521,-1.2285,0.0188,0.0188,-0.9888
17538,-0.0033,0.0502,-1.2414,0.0420,0.0420,-0.9910
17558,-0.0086,0.0482,-1.2536,0.0698,0.0698,-0.9668
17578,-0.0164,0.0458,-1.2643,0.0918,0.0918,-0.9400
17598,-0.0257,0.0426,-1.2727,0.1099,0.1099,-0.9698
17619,-0.0345,0.0397,-1.2774,0.0999,0.0999,-0.9829
17639,-0.0422,0.0367,-1.2780,0.0798,0.0798,-0.9920
17659,-0.0496,0.0339,-1.2754,0.0630,0.0630,-1.0049
17679,-0.0581,0.0321,-1.2713,0.0518,0.0518,-1.0049
17699,-0.0676,0.0312,-1.2669,0.0388,0.0388,-1.0030
17720,-0.0771,0.0306,-1.2626,0.0269,0.0269,-0.9829
17740,-0.0860,0.0298,-1.2575,0.0168,0.0168,-0.9939
17760,-0.0947,0.0289,-1.2520,0.0229,0.0229,-0.9949
17780,-0.1043,0.0272,-1.2466,0.0249,0.0249,-0.9888
17800,-0.1142,0.0249,-1.2425,0.0359,0.0359,-1.0049
17821,-0.1245,0.0222,-1.2406,0.0320,0.0320,-0.9729
17841,-0.1367,0.0189,-1.2433,0.0408,0.0408,-0.9558
17861,-0.1557,0.0158,-1.2559,-0.0078,-0.0078,-0.9698
17881,-0.1827,0.0135,-1.2801,-0.0540,-0.0540,-1.0598
17901,-0.2142,0.0162,-1.3153,-0.1079,-0.1079,-1.0598
